set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
42028-1,Bulldozer,2014,1,617,https://cdn.rebrickable.com/media/sets/42028-1.jpg,0,34.99,0,4.8,October 2015,141.63,3.8
42029-1,Customized Pick up Truck,2014,1,1063,https://cdn.rebrickable.com/media/sets/42029-1.jpg,0,0,0,4.6,November 2015,168.66,4.1
42030-1,Remote-Controlled Volvo L350F Wheel Loader,2014,1,1636,https://cdn.rebrickable.com/media/sets/42030-1.jpg,0,169.99,0,4.4,October 2016,318.87,4.5
4203-1,Excavator Transport,2012,56,305,https://cdn.rebrickable.com/media/sets/4203-1.jpg,2,24.99,2,4.3,November 2014,86.68,3.8
42032-1,Compact Tracked Loader,2015,1,252,https://cdn.rebrickable.com/media/sets/42032-1.jpg,0,14.99,0,4.8,November 2016,63.63,4.0
42035-1,Mining Truck,2015,1,362,https://cdn.rebrickable.com/media/sets/42035-1.jpg,0,24.99,0,4.5,December 2016,63.85,3.8
42036-1,Street Motorcycle,2015,1,375,https://cdn.rebrickable.com/media/sets/42036-1.jpg,0,29.99,0,4.4,December 2016,75.03,4.0
42037-1,Formula Off-Roader,2015,1,494,https://cdn.rebrickable.com/media/sets/42037-1.jpg,0,44.99,0,4.5,December 2016,80.54,4.1
42038-1,Arctic Truck,2015,1,913,https://cdn.rebrickable.com/media/sets/42038-1.jpg,0,59.99,0,4.4,November 2016,119.76,3.6
42039-1,24 Hours Race Car,2015,1,1219,https://cdn.rebrickable.com/media/sets/42039-1.jpg,0,99.99,0,4.6,December 2016,166.23,4.2
42040-1,Fire Plane,2015,1,578,https://cdn.rebrickable.com/media/sets/42040-1.jpg,0,44.99,0,4.8,October 2016,156.25,4.1
4204-1,The Mine,2012,56,748,https://cdn.rebrickable.com/media/sets/4204-1.jpg,4,69.99,1,4.5,November 2014,162.61,4.3
42041-1,Race Truck,2015,1,608,https://cdn.rebrickable.com/media/sets/42041-1.jpg,0,59.99,0,4.5,November 2016,117.74,3.5
42042-1,Crawler Crane,2015,1,1400,https://cdn.rebrickable.com/media/sets/42042-1.jpg,0,109.99,0,4.4,November 2016,271.75,4.4
42043-1,Mercedes-Benz Arocs 3245,2015,1,2793,https://cdn.rebrickable.com/media/sets/42043-1.jpg,0,169.99,0,4.8,December 2017,334.15,4.5
42048-1,Race Kart,2016,1,345,https://cdn.rebrickable.com/media/sets/42048-1.jpg,0,24.99,0,4.7,November 2017,84.65,4.1
42049-1,Mine Loader,2016,1,476,https://cdn.rebrickable.com/media/sets/42049-1.jpg,0,29.99,0,4.6,December 2017,68.44,3.6
42050-1,Drag Racer,2016,1,647,https://cdn.rebrickable.com/media/sets/42050-1.jpg,0,49.99,0,4.5,December 2017,100.86,3.8
4205-1,Off Road Command Center,2012,61,403,https://cdn.rebrickable.com/media/sets/4205-1.jpg,3,34.99,2,4.5,September 2012,69.75,4.1
42052-1,Heavy Lift Helicopter,2016,1,1042,https://cdn.rebrickable.com/media/sets/42052-1.jpg,0,99.99,0,4.7,December 2017,223.00,4.1
42053-1,Volvo EW160E,2016,1,1166,https://cdn.rebrickable.com/media/sets/42053-1.jpg,0,94.79,0,4.6,October 2017,165.85,4.2
42054-1,CLAAS XERION 5000 TRAC VC,2016,1,1976,https://cdn.rebrickable.com/media/sets/42054-1.jpg,0,119.99,0,4.7,March 2018,218.98,4.5
42055-1,Bucket Wheel Excavator,2016,1,3929,https://cdn.rebrickable.com/media/sets/42055-1.jpg,0,179.99,0,4.6,December 2018,388.68,4.3
42056-1,Porsche 911 GT3 RS,2016,1,2704,https://cdn.rebrickable.com/media/sets/42056-1.jpg,0,249.99,0,5.0,April 2019,664.65,4.4
42060-1,Roadwork Crew,2017,1,365,https://cdn.rebrickable.com/media/sets/42060-1.jpg,0,19.99,0,4.6,December 2018,34.62,3.8
42061-1,Telehandler,2017,1,260,https://cdn.rebrickable.com/media/sets/42061-1.jpg,0,24.99,0,4.4,November 2017,45.47,3.8
4206-2,Recycling Truck,2012,63,297,https://cdn.rebrickable.com/media/sets/4206-2.jpg,3,24.99,3,4.6,September 2012,51.07,3.9
42062-1,Container Yard,2017,1,631,https://cdn.rebrickable.com/media/sets/42062-1.jpg,0,54.99,0,4.7,December 2018,102.75,3.6
42063-1,BMW R 1200 GS Adventure,2017,1,603,https://cdn.rebrickable.com/media/sets/42063-1.jpg,0,54.99,0,4.7,December 2018,138.65,4.2
42064-1,Ocean Explorer,2017,1,1327,https://cdn.rebrickable.com/media/sets/42064-1.jpg,0,74.99,0,4.7,December 2018,172.47,3.9
