,id,theme,name,year of release,# of pieces,# of minifigures,Secondary market prices of new sets in 2015,Secondary market prices of used sets in 2015,Primary market price at release,age,Size group (1 - Biggest; 4 - Smallest),Profit Margin,Full Retirement Date,Years Since Retirement,Yearly Average Returns
16,10029,Discovery,Lunar Lander,2003,453,2.0,355.13,168.6,39.99,12,3,8.880470117529383,,,
17,10030,Star Wars,Imperial Star Destroyer,2002,3096,0.0,1527.0,783.38,298.99,13,1,5.1071942205424925,2008-11-26T00:00:00Z,7.101369863013699,1.2581277907629167
18,10039,Castle,Black Falcon's Fortress,2002,426,6.0,177.4,101.53,39.99,13,3,4.436109027256814,,,
19,10040,Pirates,Black Seas Barracuda,2002,906,8.0,436.6,177.6,89.99,13,2,4.851650183353707,,,
20,10106,Seasonal,LEGO Snowflake,2006,105,0.0,21.09,16.5,7.99,9,4,2.639549436795995,,,
21,10123,Star Wars,Cloud City,2003,705,7.0,975.4,566.47,99.99,12,2,9.754975497549756,,,
22,10124,Advanced models,Wright Flyer,2003,670,0.0,286.07,168.67,59.99,12,2,4.7686281046841135,,,
23,10129,Star Wars,Rebel Snowspeeder,2003,1455,0.0,1084.67,593.13,129.99,12,1,8.344257250557735,,,
24,10131,Star Wars,TIE Fighter Collection,2004,682,3.0,219.13,120.07,69.99,11,2,3.1308758394056295,,,
25,10132,Harry Potter,Motorized Hogwarts Express,2004,708,4.0,434.53,335.47,119.99,11,2,3.6213851154262855,,,
26,10133,Trains,Burlington Northern Santa Fe,2004,407,2.0,324.63,192.27,39.99,11,3,8.117779444861215,,,
27,10134,Star Wars,Y-wing Attack Starfighter,2004,1473,1.0,842.53,465.53,119.99,11,1,7.021668472372697,,,
28,10143,Star Wars,Death Star II,2005,3441,0.0,,767.0,298.99,10,1,,2009-04-10T00:00:00Z,6.7315068493150685,
29,10144,Star Wars,Sandcrawler,2005,1669,8.0,268.73,177.13,139.99,10,1,1.9196371169369242,2009-01-20T00:00:00Z,6.950684931506849,1.0983656426678963
30,10152,Advanced models,Maersk Sealand Container Ship,2004,988,0.0,218.53,144.2,74.99,11,2,2.9141218829177227,,,
31,10153,Trains,Train Motor 9 V,2002,3,0.0,99.64,47.56,24.99,13,4,3.9871948779511808,2008-09-11T00:00:00Z,7.30958904109589,1.208301379538951
32,10155,Advanced models,Maersk Container Ship,2010,990,0.0,257.12,149.33,119.99,5,2,2.142845237103092,2011-07-06T00:00:00Z,4.493150684931507,1.1848561762624614
33,10170,Trains,TTX Intermodal Double-Stack Car,2005,366,0.0,132.4,94.47,39.99,10,3,3.3108277069267316,,,
34,10173,Trains,Holiday Train,2006,965,7.0,702.33,438.13,89.99,9,2,7.804533837093011,2007-12-20T00:00:00Z,8.038356164383561,1.2912523528007676
35,10174,Star Wars,Imperial AT-ST,2006,1068,0.0,291.94,160.47,79.99,9,2,3.64970621327666,2009-03-31T00:00:00Z,6.758904109589041,1.21112155192688
36,10175,Star Wars,Vader's TIE Advanced,2006,1212,0.0,523.8,262.53,99.99,9,1,5.238523852385239,2009-02-13T00:00:00Z,6.884931506849315,1.27192441659797
37,10176,Castle,King’s Castle,2006,869,12.0,221.53,108.93,99.99,9,2,2.2155215521552156,2009-03-27T00:00:00Z,6.76986301369863,1.1246864370098744
38,10177,Advanced models,Boeing 787 Dreamliner,2006,1197,0.0,544.13,243.47,79.99,9,2,6.802475309413677,2009-06-11T00:00:00Z,6.561643835616438,1.3393656054996292
39,10178,Star Wars,Motorized Walking AT-AT,2007,1137,4.0,446.33,231.4,129.99,8,2,3.433571813216401,2010-12-25T00:00:00Z,5.021917808219178,1.2784436245592823
40,10179,Star Wars,Ultimate Collector’s Millennium Falcon,2007,5195,5.0,,,499.99,8,1,,2010-05-04T00:00:00Z,5.6657534246575345,
41,10181,Advanced models,Eiffel Tower,2007,3428,0.0,1742.93,681.27,199.99,8,1,8.715085754287715,2009-11-06T00:00:00Z,6.156164383561644,1.4214664303886602
42,10182,Advanced models,Cafe Corner,2007,2056,3.0,1671.47,736.19,139.99,8,1,11.939924280305735,2009-12-06T00:00:00Z,6.073972602739726,1.5042298294984526
43,10183,Factory,Hobby Trains,2007,1080,0.0,274.79,185.33,99.99,8,2,2.7481748174817486,,,
44,10184,Advanced models,Town Plan,2008,1981,8.0,394.07,255.53,149.99,7,1,2.627308487232482,2009-11-29T00:00:00Z,6.093150684931507,1.1717895302935655
